epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.955990195274353,0.10358191281557083,0.001,0.9987760186195374,0.004486247431486845
1,0.9957212805747986,0.016814351081848145,0.001,0.9975520372390747,0.006130401045084
2,0.9920538067817688,0.023578708991408348,0.001,0.9975520372390747,0.004282123409211636
3,0.9975550174713135,0.009078503586351871,0.001,0.9791921377182007,0.09749271720647812
4,0.9963325262069702,0.018330655992031097,0.001,0.9645043015480042,0.1720028817653656
5,0.9993887543678284,0.007320718839764595,0.001,0.9951040148735046,0.04657437652349472
6,0.9993887543678284,0.0011149694910272956,0.001,0.9975520372390747,0.008471994660794735
7,0.9990831017494202,0.005379694979637861,0.001,0.9987760186195374,0.002183508360758424
8,1.0,0.0001794855488697067,0.001,1.0,0.0004281342844478786
9,1.0,1.731335032673087e-05,0.001,1.0,0.0001456410245737061
10,1.0,1.0109890354215167e-05,0.001,1.0,9.702996612759307e-05
11,1.0,1.0861097507586237e-05,0.001,1.0,5.736545426771045e-05
12,0.9932762980461121,0.11327818036079407,0.001,0.9951040148735046,0.013117734342813492
13,0.9944987893104553,0.037133995443582535,0.001,0.9926560521125793,0.016916820779442787
14,0.9993887543678284,0.0013694358058273792,0.001,0.9975520372390747,0.014116950333118439
15,0.9996943473815918,0.0011598886922001839,0.001,0.9987760186195374,0.002702583558857441
16,0.9993887543678284,0.0017884987173601985,0.001,0.9963280558586121,0.018025847151875496
17,1.0,6.751725595677271e-05,0.000100000005,0.9975520372390747,0.01232696883380413
18,0.9996943473815918,0.00025210564490407705,0.000100000005,0.9987760186195374,0.006536650471389294
19,1.0,4.740691565530142e-06,0.000100000005,0.9987760186195374,0.006533284671604633
