epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7577829360961914,0.8532798886299133,0.001,0.892147958278656,0.35488638281822205
1,0.9267662763595581,0.24431297183036804,0.001,0.9118984937667847,0.2963321805000305
2,0.9458975195884705,0.17949430644512177,0.001,0.9144676923751831,0.2947406768798828
3,0.9567072987556458,0.1448383927345276,0.001,0.923299252986908,0.26203230023384094
4,0.9620453119277954,0.12701928615570068,0.001,0.9315955638885498,0.23971284925937653
5,0.9668481945991516,0.11170300841331482,0.001,0.9297221899032593,0.24665844440460205
6,0.9710757732391357,0.09562212228775024,0.001,0.9332013130187988,0.2428261935710907
7,0.9712898135185242,0.09553075581789017,0.001,0.9361987113952637,0.21941812336444855
8,0.974233090877533,0.0866418108344078,0.001,0.9300433397293091,0.2535070776939392
9,0.9757314920425415,0.07985842227935791,0.001,0.9289728403091431,0.25070905685424805
10,0.977042555809021,0.0792972519993782,0.001,0.9311673641204834,0.252228319644928
11,0.9780860543251038,0.07411815971136093,0.001,0.9279559254646301,0.26983731985092163
12,0.9786747097969055,0.0688156858086586,0.001,0.9337900876998901,0.26542043685913086
13,0.979209840297699,0.0679282695055008,0.001,0.9320237636566162,0.26617372035980225
14,0.9807751774787903,0.06395596265792847,0.001,0.9358240365982056,0.25669538974761963
15,0.9868489503860474,0.04225723817944527,0.000100000005,0.9431033730506897,0.2320331186056137
16,0.9891902208328247,0.03495149686932564,0.000100000005,0.9426751732826233,0.24274125695228577
