epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8089151978492737,0.4005769193172455,0.001,0.8466334342956543,0.6565473079681396
1,0.9710099697113037,0.10215186327695847,0.001,0.9214463829994202,0.30896273255348206
2,0.979738175868988,0.05010461062192917,0.001,0.9488778114318848,0.22619393467903137
3,0.9881545901298523,0.03159337118268013,0.001,0.9613466262817383,0.232832670211792
4,0.9909601211547852,0.030717331916093826,0.001,0.9688279032707214,0.09927757829427719
5,0.9922069907188416,0.021350989118218422,0.001,0.9725685715675354,0.11997278034687042
6,0.9925187230110168,0.024342717602849007,0.001,0.9663341641426086,0.11471381783485413
7,0.9912717938423157,0.026434961706399918,0.001,0.975062370300293,0.1533753126859665
8,0.996259331703186,0.012544850818812847,0.001,0.9663341641426086,0.15825550258159637
9,0.9956359267234802,0.012265137396752834,0.001,0.9800498485565186,0.09006811678409576
10,0.9950124621391296,0.014128956943750381,0.001,0.9763092398643494,0.15544363856315613
11,0.9965710639953613,0.019497595727443695,0.001,0.9825436472892761,0.08575038611888885
12,0.9918952584266663,0.03280206397175789,0.001,0.9850373864173889,0.06876203417778015
13,0.9975062608718872,0.009632091969251633,0.001,0.9837905168533325,0.05072138458490372
14,0.9978179335594177,0.010538402013480663,0.001,0.9800498485565186,0.14090165495872498
15,0.993453860282898,0.026166751980781555,0.001,0.9576059579849243,0.23273277282714844
16,0.9993765354156494,0.0024012711364775896,0.001,0.9812967777252197,0.12914778292179108
17,1.0,0.0003217635094188154,0.001,0.9775561094284058,0.1749861240386963
18,0.9987531304359436,0.010566573590040207,0.001,0.975062370300293,0.20628395676612854
19,0.9918952584266663,0.04701516777276993,0.001,0.9862843155860901,0.06143089383840561
