epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9286875128746033,0.22036820650100708,0.001,0.9782500267028809,0.07025735080242157
1,0.9843124747276306,0.05196957662701607,0.001,0.9815000295639038,0.0592874176800251
2,0.9884374737739563,0.03833980858325958,0.001,0.9827499985694885,0.07692603766918182
3,0.9916874766349792,0.028419828042387962,0.001,0.984499990940094,0.055319081991910934
4,0.9943749904632568,0.020998939871788025,0.001,0.9852499961853027,0.048080649226903915
5,0.992562472820282,0.027303287759423256,0.001,0.9865000247955322,0.03820927068591118
6,0.9950000047683716,0.01617581583559513,0.001,0.9804999828338623,0.07616502791643143
7,0.9961249828338623,0.015147115103900433,0.001,0.9882500171661377,0.04431192949414253
8,0.9951249957084656,0.016117800027132034,0.001,0.984000027179718,0.06500468403100967
9,0.9964374899864197,0.012671669013798237,0.001,0.9887499809265137,0.05451510474085808
10,0.9955624938011169,0.0157542172819376,0.001,0.9915000200271606,0.03252538666129112
11,0.9961875081062317,0.012926213443279266,0.001,0.9827499985694885,0.07144077867269516
12,0.9976249933242798,0.008407363668084145,0.001,0.9907500147819519,0.036342594772577286
13,0.9959999918937683,0.01570567674934864,0.001,0.9879999756813049,0.045993123203516006
14,0.9981250166893005,0.005105552263557911,0.001,0.9917500019073486,0.04249279201030731
15,0.9957500100135803,0.022764068096876144,0.001,0.9894999861717224,0.06752528250217438
16,0.9979375004768372,0.005678381770849228,0.001,0.9925000071525574,0.03190780431032181
17,0.9976249933242798,0.010186255909502506,0.001,0.9934999942779541,0.024248113855719566
18,0.9984375238418579,0.006827947683632374,0.001,0.9919999837875366,0.029747582972049713
19,0.9975625276565552,0.009167300537228584,0.001,0.9902499914169312,0.03985637053847313
